ID,Nº,ENFOMASYON,ADRéS,latitud,longitud,Name
40,1,,Altos cantillana block 818 depto 104,-33.6883,-71.23429,13
41,2,,"Av. Circunvalación Block 906, Dpto 303",-33.687179,-71.232393,13
42,3,,Block 801 depto 301 altos del cantillana,-33.68851,-71.23309,13
43,4,,Block 805 depto 304,-33.68859,-71.23349,13
44,5,,Block H 945 departamento 303,-33.68786,-71.23507,13
45,6,,"Los Jazmines II Block 803, dato 303",-33.688675,-71.233196,13
46,7,,"Los Jazmines II Block 803, dato 304 ",-33.688675,-71.233166,13
47,8,,"Los Jazmines II Block 810, dato 304",-33.688573,-71.233815,13
48,9,,"Los Jazmines II Block 811, dato 104",-33.688428,-71.233944,13
49,10,,"Los Jazmines II Block 818, dato 303",-33.688189,-71.233858,13
50,11,,Los Jazmines II Block 908 dpto 302,-33.688369,-71.232885,13
51,12,,Loz Jazmines Block 813 dpto 101,-33.688557,-71.234104,13
52,13,,Loz Jazmines Block 815 dpto 303,-33.6883046,-71.2343246,13
53,1,,Block 806 dpto 303,-33.688202,-71.230964,14
54,2,,Block 807 depto 301,-33.68809,-71.231,14
55,3,,Block 810 depto 104,-33.687905,-71.231458,14
56,4,,Block 812 depto 304,-33.6883,-71.2309,14
57,5,,Block 824 depto 101 color v,-33.6883,-71.231,14
58,6,,Block 828 depto 104,-33.68859,-71.2309,14
59,7,,Block 828 depto 301,-33.68849,-71.231,14
60,8,,Block 833 depto 103,-33.68849,-71.23159,14
61,9,,Block 835 depto 101,-33.688697,-71.231518,14
62,10,,Block 835 depto 103,-33.688715,-71.231539,14
63,11,,Block 835 depto 303,-33.6887,-71.23149,14
64,12,,Block 844 depto 302,-33.68849,-71.231,14
65,13,,Block 854 depto 101,-33.6887,-71.2313,14
66,14,,Block 904 depto 201,-33.688757,-71.23269,14
67,15,,Block 904 depto 301,-33.68875,-71.23265,14
68,16,,Block 904 depto 302,-33.68884,-71.23249,14
69,17,,Block 906 depto 303,-33.68904,-71.23248,14
70,18,,Block 922 depto 301,-33.68949,-71.23159,14
71,1,,Block 829 depto 302,-33.689021,-71.229722,15
72,2,,Block 829 depto 302,-33.688856,-71.229524,15
73,3,,Block 830 depto 304,-33.68909,-71.22959,15
74,4,,Block 846 depto 102,-33.6888,-71.2304,15
75,5,,Block 861 depto 103,-33.68939,-71.230072,15
76,6,,Block 867 depto 304,-33.6898,-71.2294,15
77,7,,Block 873 depto 103,-33.689388,-71.230142,15
78,8,,Block 874 dpto 301,-33.6893,-71.23069,15
79,9,,Block 875 depto 101,-33.68945,-71.230082,15
80,10,,Block 875 depto 103,-33.689602,-71.230206,15
81,11,,Block 878 depto 102,-33.6894,-71.22869,15
82,12,,Block 890 depto 301,-33.689987,-71.229107,15
83,13,,Block 890 depto 302,-33.68999,-71.2291,15
84,14,,Block 946 depto 102,-33.689861,-71.23029,15
85,15,,Block 946 depto 304,-33.68989,-71.2303,15
86,16,,Block 958 depto 304,-33.69039,-71.2295,15
87,17,,Block 960 depto 102,-33.69049,-71.22959,15
88,1,Casa color mostaza con portón negro,Arza (frente a la 240),-33.68289,-71.21019,16
89,2,,Barros 25,-33.68071,-71.21228,16
90,3,color rojo,Block 806 depto 303,-33.68809,-71.22,16
91,4,Casa del fondo,Fuenzalida 230,-33.68349,-71.21089,16
92,5,,Los Cardenales 710,-33.68809,-71.2244,16
93,6,casa verde al lado del Santa Isabel,Manzo 529,-33.69134,-71.21497,16
94,7,por puerta izquierda,Pardo (porton negro sin número),-33.68059,-71.2172,16
95,8,,Pardo 774,-33.68905,-71.21823,16
96,9,"porton negro, esquina San Miguel",Santa bárbara al lado derecho del 799,-33.68899,-71.2201,16
97,10,Casi en la esquina de la carnicería,Ugalde 127,-33.68429,-71.2085,16
98,11,,Ugalde 651,-33.6837,-71.21579,16
99,12,Casa con palto grande,Ugalde frente 099,-33.6846,-71.2052,16
100,1,,Correa 949,-33.6922,-71.2217,18
101,2,,Los Carrera / Ojeda (al lado de la 851),-33.693659,-71.219393,18
102,3,,Los carrera 810 (Al lado derecho),-33.69366,-71.21869,18
103,4,,Pardo 1099,-33.693592,-71.218473,18
104,5,Casa amarilla con puerta color café,Pardo 987,-33.692334,-71.218375,18
105,6,"Puerta negra con reja, vive otra familia",Pardo 987b,-33.69245,-71.218342,18
106,7,,Pardo 991,-33.692516,-71.218533,18
107,8,,Pasaje uno 958,-33.69201,-71.22119,18
108,9,Puerta color negra lado izquierdo,Silva Chavez 1298,-33.69565,-71.217428,18
109,1,,Alfonso Suárez 1066,-33.694,-71.22309,19
110,2,,Alfonso suarez 1297,-33.69591,-71.22141,19
111,3,,Bernardo Ohggins 979,-33.69469,-71.22152,19
112,4,,Casa 4-b toma del cementerio,-33.697569,-71.22715,19
113,5,,Casa 6-b toma del cementerio,-33.697569,-71.227175,19
114,6,,Casa 8-a toma del cementerio,-33.697932,-71.227632,19
115,7,,Casa 8-b toma del cementerio,-33.697569,-71.227199,19
116,8,,"Correa & O'Higgins, Melipilla, Región Metropolitana, Chile",-33.694606,-71.222003,19
117,9,"Algunas casas después de ""la picá""",Correa porton de madera,-33.69419,-71.2218,19
118,10,,Francisco Javier Reive 950,-33.6911,-71.22348,19
119,11,,Juan Inostroza 1368,-33.69609,-71.22379,19
120,12,,Manuel Rengifo1022,-33.69191,-71.22267,19
121,13,,"San Pedro, Melipilla, Región Metropolitana, Chile",-33.692251,-71.22437,19
122,14,Casa azul,Sangra 1335,-33.69559,-71.22429,19
123,15,,Yungay 1454,-33.69549,-71.2248,19
124,1,,Adolfo Larrain Valdivieso 49,-33.68289,-71.236,2
125,2,,Avenida Tres Poniente 582,-33.6824,-71.23819,2
126,3,,C. Bicentenario 2580,-33.67839,-71.23851,2
127,4,Lado izquierdo de Almacén,C. Bicentenario 379,-33.67809,-71.23897,2
128,5,Esquina con Bicentenario,Pje. 16 #2570,-33.67839,-71.2384,2
129,6,,"Pje. 7, Melipilla, Región Metropolitana, Chile",-33.679601,-71.237741,2
130,1,"casa amarilla, portón negro ",Ana Fuentes (frente a 1684),-33.69929,-71.2217,20
131,2,,Ana fuentes 1703,-33.69948,-71.22197,20
132,3,,Ana fuentes 1704,-33.69937,-71.22194,20
133,4,casa tiene un mini galpón,Carampagne al lado almacen,-33.6985,-71.22319,20
134,5,esquina casa color verde,Carampangue / San Carlos AA2400,-33.69856,-71.22356,20
135,6,santa nora casa nilo,"Carampangue 1165, Melipilla",-33.69862,-71.22375,20
136,7,,Las acacias / Caranpangue (casa rosada),-33.69829,-71.223,20
137,8,dueña no quiere que visitemos,San Carlos 912,-33.69852,-71.22345,20
138,9,poblacion teniente merino,"San Carlos 923, Melipilla",-33.6991,-71.2228,20
139,10,,San Carlos 947,-33.698809,-71.223208,20
140,11,,San Carlos al lado izquierdo de 966,-33.69889,-71.22312,20
141,12,casa de dos pisos balcón madera,San carlos frente al 935,-33.69889,-71.2229,20
142,13,,San Juan 946,-33.699012,-71.22356,20
143,14,,San Juan 975,-33.699,-71.2236,20
144,1,,Ana fuentes 17470,-33.70069,-71.223,21
145,2,,caupolicán 1726,-33.69969,-71.223,21
146,3,casa celeste hacia abajo del terreno,La cumbre s/n,-33.700743,-71.22295,21
147,4,debe ser 31 o 32,santa Nora (frente a la iglesia),-33.7004,-71.22409,21
148,5,,santa nora 15 (frente al 14),-33.7,-71.22509,21
149,6,,Santa Nora 918,-33.70029,-71.2239,21
150,7,,santa nora casa 30,-33.70019,-71.22419,21
151,8,casa celese frente al 910,santa Teresa 1116,-33.7,-71.2237,21
152,9,frente a casa roja,Sta Nora frente a 943,-33.7004,-71.22399,21
153,1,casa amarilla al lado izquierdo de 1642,Ana fuentes 1644,-33.6979,-71.22059,22
154,2,,Caupolican 1642 (frente a barbería),-33.69754,-71.220962,22
155,3,portón negro,Caupolican 1671,-33.69859,-71.22178,22
156,4,casa roja 2 pisos,Caupolican al lado izquierdo del 1645,-33.69766,-71.221,22
157,5,casa roja con puerta negra,Caupolicán frente 1642,-33.6986,-71.22199,22
158,6,,El esfuerzo 1339,-33.69749,-71.2216,22
159,7,"casa que da a la calle, color blanca",Las brisas 1331,-33.6973,-71.22139,22
160,8,,Patria vieja 908,-33.69829,-71.22209,22
161,9,,Patria vieja 916,-33.69811,-71.22237,22
162,10,casa verde,Patria vieja 920,-33.69809,-71.22241,22
163,11,,Patria vieja 925,-33.69845,-71.22196,22
164,12,"casa de cemento, portón negro",Patria Vieja al lado izquierdo del 914,-33.6982,-71.22219,22
165,13,,Patria vieja casa esquina de cemento con canpangue,-33.69811,-71.22251,22
166,1,,Benítez 967,-33.6963,-71.22049,23
167,2,,El Cementerio 1290,-33.69648,-71.22075,23
168,3,varias piezas,Fleck 850,-33.69689,-71.2192,23
169,4,,Fleck 857,-33.696969,-71.219352,23
170,5,varias piezas,Fleck 861,-33.6971,-71.21939,23
171,6,portón al fondo,Fleck al lado 738,-33.69699,-71.21779,23
172,7,,Manuel benitez 1089,-33.69638,-71.22078,23
173,8,,Manuel Benítez 978,-33.6963,-71.2207,23
174,9,portón de lata,Pardo / Fleck,-33.6968,-71.21859,23
175,10,,Pardo 1341 (lado derecho),-33.69649,-71.2188,23
176,11,,Pardo 1430,-33.697163,-71.21888,23
177,12,,Pardo 1437,-33.6972,-71.2189,23
178,13,varias puertas,Silva Chavez 1398,-33.6968,-71.21759,23
179,1,rojo colonial con celeste,Casa lado norte,-33.698,-71.218,24
180,2,,El Esfuerzo 1453,-33.6978,-71.21949,24
181,3,,Pardo 1421,-33.6973,-71.21859,24
182,4,,"Pardo 1426, Melipilla, Región Metropolitana, Chile",-33.697235,-71.219016,24
183,5,,"Pardo 1426, Melipilla, Región Metropolitana, Chile",-33.697235,-71.219016,24
184,6,,"Pardo 1437, Melipilla, Región Metropolitana, Chile",-33.697538,-71.21884,24
185,7,,Pardo 1452,-33.69739,-71.21869,24
186,8,,"Pardo 1480, Melipilla, Región Metropolitana, Chile",-33.697718,-71.219076,24
187,9,,"Pardo 1480, Melipilla, Región Metropolitana, Chile",-33.697718,-71.219076,24
188,10,Oreja negra varias piezas,Pardo 1504,-33.69839,-71.219,24
189,11,,"Pardo 1552, Melipilla, Región Metropolitana, Chile",-33.698747,-71.21906,24
190,12,,Pardo 1585,-33.69879,-71.2188,24
191,13,,"Zúñiga & Silva Chávez, 9580647 Melipilla, Región Metropolitana, Chile",-33.698115,-71.217622,24
192,14,referencia Silva Chavez,Zúñiga 708,-33.6982,-71.21769,24
193,15,,"Zúñiga 708, 9580651 Melipilla, Región Metropolitana, Chile",-33.698306,-71.217895,24
194,16,varias direcciones,Zuñiga 761,-33.6982,-71.2182,24
195,17,antes del almacén,Zuñiga casa roja colonial,-33.698,-71.2181,24
196,18,casa color cafe con color lúcuma,Zuñiga lado norte,-33.698,-71.2179,24
197,19,,"Zúñiga, casa al lado izquierdo del 775",-33.6982,-71.2183,24
198,1,,Daniel Duran 1544,-33.70019,-71.2171,25
199,2,por manuel durán s/n casa amarilla,Daniel Durán/Roberto Sagredo esquina,-33.69969,-71.217,25
200,3,huilco alto(número de caseta),Las Camelias 1075,-33.6999,-71.2209,25
201,4,,Las Camelias 1113,-33.7001,-71.2208,25
202,5,población francisco gonzalez,Manuel Agüero 1500,-33.69959,-71.21669,25
203,6,tiene malla rachel casa en bajo,Pasaje Ilusion (frente a la 1122),-33.7001,-71.22049,25
204,7,,Pasaje Ilusion 1052,-33.69957,-71.22056,25
205,8,,Pasaje Ilusión 1062,-33.6994,-71.22047,25
206,9,,Psj Santa María 925,-33.7,-71.221,25
207,10,casa amarilla,Silva Chávez (frente al 1636),-33.69979,-71.21759,25
208,11,,Silva Chávez 1636,-33.69975,-71.21787,25
209,1,,Casa amarilla en Leonera Latorre,-33.70223,-71.22164,26
210,2,,Chorrillos / Ana Fuentes pasaje belen,-33.70126,-71.22268,26
211,3,,Colón 923,-33.70208,-71.22174,26
212,4,,Guacolda 917,-33.70182,-71.22042,26
213,5,,Guacolda 924,-33.70177,-71.22063,26
214,6,,Leonora Latorre 1722,-33.70183,-71.22125,26
215,7,,Manuel Rodríguez 939,-33.70138,-71.22052,26
216,8,,Pasaje Principal 1567.,-33.70024,-71.22162,26
217,1,,Al lado de Francisco Werchez 1645,-33.701182,-71.219958,27
218,2,casi al final de la calle entrad de ladrillo,Copiapo,-33.70119,-71.2197,27
219,3,casa de 2 pisos con pilar redondo de madera,Copiapo 1651,-33.701132,-71.219733,27
220,4,,Copiapo 1729,-33.70169,-71.21961,27
221,5,al final del pasaje casa amarilla segundo piso,Copiapo 1749,-33.7019,-71.21939,27
222,6,,Copiapó 1754,-33.7019,-71.21939,27
223,7,,Copiapó 1760,-33.701925,-71.219615,27
224,8,,Daniel Duran 1620,-33.70109,-71.2174,27
225,9,,Francisco Werchez 1645,-33.70109,-71.2199,27
226,10,,Francisco Werchez 1651,-33.701327,-71.219986,27
227,11,referencia tres esquinas,Manuel Rodríguez 745,-33.70156,-71.21872,27
228,12,,Manuel Rodriguez 808,-33.70159,-71.21884,27
229,13,,Manuel Rodriguez 841,-33.701518,-71.21952,27
230,14,casa roja grande de la esquin,Manuel Rodríguez 844,-33.7014,-71.21939,27
231,15,varias piezas,Manuel Rodríguez frente 735,-33.70159,-71.21849,27
232,16,casa esquina en alto,Manuel Rodríguez/Miraflores,-33.70159,-71.2192,27
233,17,,"Miraflores 1711, 9581558 Melipilla, Región Metropolitana, Chile",-33.70173,-71.21901,27
234,18,,Miraflores 1733,-33.7018,-71.219,27
235,19,,Placilla 1702,-33.70169,-71.21869,27
236,20,,Principal / Silva Chávez,-33.701,-71.21779,27
237,21,"frente a la calle andrés bello, puerta de lata",Silva Chávez 1630,-33.7013,-71.21769,27
238,1,,"Calle eucapiltos (final calle, casa roja)",-33.7042,-71.22239,28
239,2,"Huilco, por el portón para adentro",Las acacias 2050,-33.7028,-71.2181,28
240,3,,Los cardenales (final calle casa azul),-33.705,-71.22209,28
241,4,"Mata de níspero, casa madera celeste",Los cardenales 2109,-33.705,-71.22029,28
242,5,"Antena entel, al final del pasaje",Los cardenales 2154,-33.7048,-71.22239,28
243,6,,Los cardenales s/n (casa verde pistacho),-33.705,-71.22139,28
244,7,"Casa amarilla, ex almacén",Los olmos (frente 2090a),-33.7043,-71.2201,28
245,8,Casa azul y casa amarilla,Los olmos 2079,-33.70449,-71.2199,28
246,9,Casa roja con parron,Los olmos 2082,-33.7046,-71.22,28
247,10,Casa gris muy pequeña,Pasaje 7 los (casa gris),-33.7052,-71.2225,28
248,11,primera casa mano derecha,Pasaje del negocio el sol (casa roja),-33.7062,-71.2199,28
249,1,,Las Dalias frente al 2068 (porton de lata),-33.704221,-71.218153,29
250,2,,Los ciruelos,-33.7059,-71.21785,29
251,3,,Pasaje Tres (Casa bajando camino tierra),-33.70489,-71.2169,29
252,4,,Psje Dos 2032 vista hermosa.,-33.7033,-71.21691,29
253,5,,Vista hermosa 2031,-33.70527,-71.21743,29
254,6,,Vista hermosa 2032,-33.7027,-71.21779,29
255,7,,"Vista Hermosa 2056, 9580162 Melipilla, Región Metropolitana, Chile",-33.703272,-71.217922,29
256,8,,Vista hermosa 2058,-33.7034,-71.2179,29
257,9,,Vista hermosa 2090,-33.7048,-71.21769,29
258,10,Tres piezas color verde,Vista hermosa 2118 A,-33.70566,-71.21873,29
259,11,,"Vista Hermosa 2175, Melipilla, Región Metropolitana, Chile",-33.706076,-71.219125,29
260,1,,José a. Pacheco Esq. Merced,-33.67879,-71.2348,3
261,2,,José Pacheco 143,-33.67803,-71.23439,3
262,3,,José Pacheco 201,-33.67824,-71.23467,3
263,4,,Jose Perotti 114,-33.67739,-71.23449,3
264,5,,Jose Perotti 74,-33.6771,-71.2342,3
265,6,,"Pje. José Arturo Pacheco 18, 9582068 Melipilla, Región Metropolitana, Chile",-33.676562,-71.233469,3
266,7,,"Pje. Juan Francisco González 144, 9582076 Melipilla, Región Metropolitana, Chile",-33.677913,-71.233975,3
267,8,,Psj. Juan Fco. González 132,-33.678005,-71.233921,3
268,9,,Psj. Juan Fco. González 138,-33.678411,-71.234195,3
269,10,,Psj. Juan Fco. González 144,-33.678487,-71.23424,3
270,11,,"Psj. Juan Fco. González, Melipilla, Región Metropolitana, Chile",-33.678371,-71.234179,3
271,12,,"Psj. Juan Fco. González, Melipilla, Región Metropolitana, Chile",-33.679058,-71.234619,3
272,13,,"Psj. Juan Fco. González, Melipilla, Región Metropolitana, Chile",-33.679058,-71.234619,3
273,14,,"Psj. Pintor José Perotti 102, 9582072 Melipilla, Región Metropolitana, Chile",-33.677369,-71.234404,3
274,15,,"Psj. Pintor José Perotti 102, 9582072 Melipilla, Región Metropolitana, Chile",-33.677369,-71.234404,3
275,16,,"Psj. Pintor José Perotti 102, 9582072 Melipilla, Región Metropolitana, Chile",-33.677369,-71.234404,3
276,1,Casa amarilla,Camino viejo 1236,-33.70629,-71.21649,30
277,2,,"Capellán Abarzúa, Melipilla, Región Metropolitana, Chile",-33.702048,-71.216709,30
278,3,Al lado izquierdo de ex casa sabine,Capellán asartur,-33.70169,-71.2171,30
279,4,Portón lata calipso,Capellán asartur frente al 630,-33.7019,-71.2171,30
280,5,"Casa en alto, entre venta agua y 1366",Huilco bajo (al lado de 1366),-33.709,-71.2172,30
281,6,,"Huilco Bajo 1216, 9581394 Melipilla, Región Metropolitana, Chile",-33.706352,-71.216647,30
282,7,Gran portón lata. poste 012,"Huilco Bajo 1502, camino viejo",-33.7093,-71.217,30
283,8,Casa azul (turquesa),Huilco bajo lado izquierdo 1178 casa roja,-33.70489,-71.21639,30
284,9,,Huilco Bajo. Al lado del 1502. Camino viejo.,-33.7079,-71.2163,30
285,10,Al lado de la cancha y el parque,"Pedro guzmán, al lado el edificio de la iglesia",-33.70052,-71.21694,30
286,1,casa de madera al lado de 2 pisos,Carmen Quintero 277,-33.6754,-71.208,31
287,2,reja madera alta,Ignacio Carrera Pinto / Juan bolivar,-33.67649,-71.20639,31
288,3,,José Argomedo 467,-33.6768,-71.2052,31
289,4,,Juan Bautista campos (casa esquina),-33.67649,-71.2079,31
290,5,,Juan Bautista Pastene 209,-33.6766,-71.21289,31
291,6,casa color rojo,Juan bolivar 212,-33.67649,-71.2068,31
292,7,casa calipso y roja,"Las Ostolazas, final calle (frente a 363)",-33.6733,-71.20829,31
293,8,lado izquierdo del negocio,Patricio Larraín 186,-33.6749,-71.21379,31
294,9,reja de madera fretne a casa blanca 2 pisos,Pedro Mendez 142 (aa 1520),-33.6759,-71.207,31
295,10,casa amarilla,Pedro Méndez 251,-33.67599,-71.2068,31
296,11,puerta que esta por el patio,Ricardo Sta. Cruz frente 441,-33.6754,-71.21389,31
297,1,,Arturo Perez 191 población Demetrio Bravo,-33.67839,-71.2079,32
298,2,,Arturo Pérez 277,-33.67839,-71.2086,32
299,3,casa de reja enredadera verde,Gabriel Silva 138,-33.6771,-71.2069,32
300,4,,Gabriel Silva 160.,-33.67699,-71.2077,32
301,5,,Gabriel Silva 180,-33.67701,-71.20778,32
302,6,al lado de negocio,Gabriel Silva 263,-33.67699,-71.20832,32
303,7,frente a julio montt,"Gabriel Silva s/n, reja celeste",-33.677019,-71.2086,32
304,8,,Ignacio Carrera Pinto 189,-33.67728,-71.206485,32
305,9,,Ignacio carrera Pinto esquina Manuel Silva,-33.67739,-71.20659,32
306,10,,Ignición Carrera Pinto / Av Padre Demetrio. Casa de madera,-33.679363,-71.20671,32
307,11,"pieza, casa galpón",Juan Bautista Campos / Luis Cruz Martinez,-33.67793,-71.20788,32
308,12,casa orientne con reja negra,Juan Bautista Campos s/n (Entre M. Silva y G. Silva),-33.677316,-71.207897,32
309,13,esq al llegar a julio montt. Frente a iglesia,Luis Cruz Martínez 109,-33.677722,-71.209175,32
310,14,,Luis Cruz Martínez 170,-33.67779,-71.20749,32
311,15,casa tiene 2 números,Manuel Silva 121-190,-33.67739,-71.2077,32
312,16,,Manuel Silva 255,-33.67739,-71.2085,32
313,17,casa 2 pisos frente a 261,Manuel Silva 270,-33.67729,-71.2089,32
314,18,,Manuel Silva 290.,-33.67734,-71.20905,32
315,19,casa esquina 2 pisos,Manuel silva con julio montt,-33.67722,-71.20918,32
316,20,dpto doble piso,Manuel Silva frente a 216,-33.67739,-71.20829,32
317,1,al lado derecho de la 697,Arturo Perez (casa esquina),-33.678646,-71.205142,33
318,2,,Arturo Pérez 0240,-33.67869,-71.20369,33
319,3,,Arturo Pérez 051,-33.6785,-71.20469,33
320,4,,Arturo Perez 697,-33.678685,-71.204862,33
321,5,,Clodomiro Rosas 570,-33.67819,-71.205,33
322,6,entre José Arias y Florencio Astudillo,Clodomiro rosas frente a 569,-33.67789,-71.2049,33
323,7,con calle Ernesto González,Emilio Correa 0150,-33.67839,-71.20369,33
324,8,,Ernesto gonzales (casa rosada) al lado 01,-33.67819,-71.2041,33
325,9,,Florencio Astudillo 0210,-33.67813,-71.20394,33
326,10,,Francisco Contreras 534,-33.6781,-71.206,33
327,11,casa amarilla con piezas azules,Francisco Contreras 536,-33.6775,-71.2061,33
328,12,,Francisco Contreras 560,-33.6781,-71.2061,33
329,13,segunda casa después del negocio,José Arias 161,-33.67789,-71.20369,33
330,14,esquina con Francisco Contreras,Jose Arias 511 (casa esquina),-33.677486,-71.205964,33
331,1,,Claudio Matte Block 187 depto 203,-33.679,-71.20169,34
332,2,,Claudio Matte Block 187 depto 304,-33.679,-71.20159,34
333,3,,Claudio Matte Block 380 depto 302,-33.67914,-71.20157,34
334,4,,Claudio Matte Block 462 dpto #207,-33.678655,-71.201632,34
335,5,frente al poste 3,Empresario Ariztía / Educadora Maranbio,-33.67865,-71.20088,34
336,6,,Empresario Ariztía block 589 depto 307,-33.67839,-71.201,34
337,7,,Empresario Manuel Ariztia block 589 depto 105,-33.67839,-71.202,34
338,8,,Hermanas Marambio Block 185 depto 104,-33.67892,-71.20045,34
339,9,,hermanas Marambio Block 185 depto 203,-33.67879,-71.20059,34
340,10,,Hermanas Marambio block 185 depto 306,-33.67879,-71.2005,34
341,11,por calle matte,Hermanas Marambio Block 185 depto esquina superior,-33.67886,-71.20052,34
342,12,casa verde,J M González 0558,-33.67839,-71.20089,34
343,13,,Jose Manuel Gonzalez block 428 depto 102,-33.6786,-71.202,34
344,14,,José Manuel González Block 428 depto 201,-33.6786,-71.20189,34
345,15,,José Manuel González Block 428 depto 204,-33.6786,-71.20189,34
346,16,,José Manuel Gonzalez block 428 depto 301,-33.6786,-71.20189,34
347,17,,José Manuel Gonzalez Block 428 depto 306,-33.67879,-71.202,34
348,18,,Padre Demetrio Block 383 depto 102,-33.6791,-71.20259,34
349,19,,Padre Demetrio Block 383 depto 206,-33.679,-71.20249,34
350,20,,Padre Demetrio Block 383 depto 306,-33.679,-71.20269,34
351,21,,Padre DemterioBlock 383 depto 308,-33.6791,-71.20259,34
352,1,,Empresario Ariztía block 609 depto 101,-33.67829,-71.1994,35
353,2,,Empresario Ariztía block 609 depto 102,-33.67839,-71.1993,35
354,3,,Empresario Ariztía block 609 depto 103,-33.67829,-71.1994,35
355,4,,Empresario Ariztía block 609 depto 203,-33.67839,-71.1993,35
356,5,,Empresario Ariztía block 609 depto 304,-33.67839,-71.1993,35
357,6,,Empresario Ariztía block 609 depto 307,-33.67829,-71.1993,35
358,7,,Empresario Ariztía Block 639 blanco 639 depto 107,-33.67829,-71.19889,35
359,8,,Empresario Ariztía block 639 depto 308,-33.67829,-71.19899,35
360,9,,Empresario Manuel Ariztía Block 609 depto 208,-33.67839,-71.1994,35
361,10,,Gabriel Garcia block 586 depto 106,-33.6781,-71.19969,35
362,11,,Gabriel Garcia block 586 depto 202,-33.6781,-71.1996,35
363,12,,Gabriel Garcia block 600 depto 306,-33.6781,-71.19899,35
364,13,,Gabriel Garcia block 638 depto 104,-33.678,-71.1986,35
365,1,,Empresario Ariztía block 0637 depto 204,-33.678728,-71.20006,36
366,2,,Empresario Ariztía block 0637 depto 205,-33.678728,-71.200065,36
367,3,,Empresario Ariztía block 0637 depto 206,-33.678728,-71.20007,36
368,4,,Empresario Ariztía Block 589 depto 103,-33.67839,-71.2001,36
369,5,,Empresario Ariztía block 589 depto 202,-33.6785,-71.2001,36
370,6,,Empresario Ariztía Block 589 depto 206,-33.67839,-71.19999,36
371,7,,Empresario Ariztía block 589 depto 302,-33.6785,-71.2001,36
372,8,,Empresario Ariztía block 589 depto 304,-33.6785,-71.19999,36
373,9,,Empresario Ariztía Block 595 departamento 302,-33.67837,-71.1995,36
374,10,,Empresario Ariztía Block 595 departamento 306,-33.67837,-71.1997,36
375,11,,Empresario Ariztía Block 595 depto 204,-33.67839,-71.19969,36
376,12,,Empresario Ariztía block 595 depto 207,-33.67829,-71.19969,36
377,13,,Empresario Ariztía Block 595 depto 301,-33.67839,-71.1997,36
378,14,,Empresario Ariztía block 605 depto 103,-33.678728,-71.20005,36
